RD_WRITE_DT,RD_RATING,RD_ITEM_NM,RD_CONTENT,PRODUCT_TITLE
20240927,5,,예뻐요!!! 아이보리랑 블루 고민하다가 상세컷에 아이보리가 은은한 광택감이 고급스러워보이길래 구매했는데 굿초이스였어요 공홈에서 올x브x올x브꺼 유사한 디자인에 조금 저렴한 게 있어서 고민했는데 역시 온앤온 사길 잘했네요 콩단추도 예쁘고 은은한 광택감이 고급스러운게 돈 더 주고 괜찮은 옷 하나 사두는게 좋은 것 같아요 ㅎㅎ 블라우스 하나로 트위드자켓도 살아나네요~! 거의 최저가로 구매한 것 같아서 기분이 좋아요ㅎㅎ,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241126,5,,디자인도 깔끔하고 잘 입어질 것 같아요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240928,4,,이뻐요 단추도 고급지고 색도 좋아요 그런데 비닐냄새라고 하나요 그 냄새바 많이나고 팔쪽이 애매합니다 단추가 없고 마감이 별로예요 그치만 이뻐요ㅎ,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241121,5,,고급스러우면서 너무 맘에 듭니다~^^,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241112,5,,출근할 때 입었는데 예뻐요. 추천합니다.,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241118,5,,너무 예쁜 블라우스,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241110,5,,너무 이뻐요 디자인 굿,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240927,5,,루즈핏인데 예쁘게 류즈핏이에옹 ㅋㅋ 단추 디테일고 이쁘구 소매 셔링도 이쁘네욤 !! 색상도 오묘해서 이뿌요 ㅎㅎ 통통66까지만 추천합니당,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241103,5,,"예뻐서 깔별로 구입한 블라우스. 자켓 안에 입어도, 단독으로 입어도 이쁘고 고급집니다.",[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241001,4,,색상도 이쁘고 디자인도 맘에 듭니다 하객패션으로 딱이네요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240925,5,,정말 이쁘네요. 고급스러워요 냄새는 살짝 나요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240928,5,,블루 컬러 이뻐요. 잘 입을게용,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240927,5,,무난하고 세일 할 때 잘 산거같아요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240924,4,,다크네이비랑 코디된 착샷보고 예뻐서 구매했어요 단추는 잘안열려서 그냥 잠긴채로 입고벗고해야할거같고 어깨가 너무넓어보이는게 아쉽네요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240927,5,,고급지고 예뻐서 깔별로 소장합니다~,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241016,5,,"부드럽고 여성여성 잘 입고 있어요,",[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240928,4,,블루색상 예뻐서. 블랙추가 구입합니다.ㅇ~~ 가슴이 깊게 패인거 빼고는 만족해요~ 앞부분이 쫌. 신경쓰여요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240923,4,,헐렁하게나온 브라우스에요 66입는데 55주문했더니 잘맞아요...얇고 가벼운옷이에요 결혼식장갈때 입으려고 주문했어요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241003,4,,색상도 고급지고 은은한 광택이 있어서 좋아요.,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241001,5,,너무 이뻐용 만족합니다,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240829,5,,"오늘 입었는데 이뿌네요 색상도 이쁘고,정사이즈에 재질도 좋아요 고민하시는분들 사셔도 좋을듯해요",[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240824,5,,역시 온앤온은 후회없음. 가격 때문에 비슷한 디자인의 다른 브랜드에서 사려다가 소재나 핏이 더 마음에 들어서 살짝 고민하다 결국 주문했음. 스커트에 입으니 너무 예뻐서 빨리 입고나가고 싶음!!! 🫣 고민하다가 품절됩니다 여러분,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240924,5,,색상 예쁘고 스커트에 입으니 아주 예뻐요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240925,5,,비슷한 블라우스 많은데 그중에서도 너무 예뻐요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241001,5,,원하던디자인이에요.,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240830,4,,광택이 있어서 고급스러워요. 좀 오버핏이네여. 한사이즈 작았음 좋았을듯해요.,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240913,3,,생각보다 옷이 큽니다,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241004,5,,여성 여성 여리 여리 이뽀요ㅎ,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240906,4,,덩치있는 저는 거 덩치있어보이지믄 옷은 좋습니다,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240824,3,,소재는 좋았지만 박음질이 엉망인곳이 있어요ㅠ,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240823,5,,핏도이쁘고 질도조아요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240523,5,,"받아보고 너무나 만족스러운 옷이었어요! 디테일도 예쁘고, 실제로 보면 광택도 느껴지고, 입었을때가 훨씬 예쁩니다! 다른색도 추가구매하려구요~!",[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240523,5,,옷 넘 맘에 들어요. 고급스러우면서 여서스러운 옷입니다. 결혼식 갈때 입을옷 걱정했는데 덕분에 옷걱정 끝냈습니다^^ 이쁜옷 많이많이 올러주세요~♡,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240609,4,,여리여리해보여요~~,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240619,5,,예쁘고 분위기나는옷입니다 여성스러워요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240530,5,,우선 색이 너무 이쁘고 소재도 좋습니다!,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240602,5,,"흰색 구매 후, 너~무 맘에 들어서 블랙 재구매했습니다! ^^",[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240410,5,,예뻐요ㅎㅎ 어깨 퍼프가 생각보다 많이 크긴해요. 그리고 소매는 좀 짧습니다. 소재는 얇아서 초여름까지 가능할듯해요. 라이트 베이지는 약간 연두빛 돕니다.,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240426,5,,"블루 샀다가 두루두루 못입을 것 같아서 베이지로 다시 샀어요, 베이지가 훨씬이쁘네요 ㅎㅎ 결혼식 때 잘 입을게요! 청바지나 슬랙스 치마 휘뚜루마뚜루 잘 입을 것 같습니다 가격값해용",[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240423,5,,색이 산뜻해요 가슴부위가 많이 파져있어서 조심은 해야되요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240402,5,,"타이블라우스지만 탈부착이 가능해서 구매했는데 어깨 디테일과 단추 디자인이 옷을 고급스럽게 만들어줘요! 슬랙스, 치마입고 자켓이랑 코디하니 너무 예뻐요~",[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240328,5,,맘에 들어요 녹넉한 핏 이라 더 좋아요 55했어듀 될거 같지만 ㅎㅎ 팔길이가 더 짧앗을거 같네요 이뻐요 약간 색이 어두워요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240222,5,,결혼식에 가려고 구입했는데 코트안에 입으니 이뻐요. 어깨 라인도 여성스럽고 소매가 짪은 느낌인데 오히려 그게 맘에들어요 베이지 했는데 블랙 바지에 잘 어울리고 타이가 신의 한수 분위기 있고 풀어도이뿌고 리본으로 묶어도 이뿌고 여릐가지로 입을수 있어서 좋으네요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240504,3,,어꺠가 태평양 처럼 넓어보여요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240408,5,,이뻐요~역쉬 온앤온이예요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240330,5,,블루 구매하고 화이트도 구매했어요! 말이 필요앖이 예뻐요 약간 가격이 있지만 마음에 들고 두루두루 입을수 있어 좋아요 감사합니다,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240330,5,,블라우스 마음에 들어요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240323,5,,광택감 때문에 약간 걱정했는데 실물이 깡패에요!! 저 스트랩(?)이 단추로 탈부착 되는게 넘 맘에 드네요 아이보리랑 라이트베이지도 추가주문했어요 어깨 주름이 심금을 울림...,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240330,5,,색깔별로 구매했어요^^,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240327,5,,고급스럽고 예뻐요!,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240411,5,,실물이 더 예뻐서 잘 입을 듯 합니다,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240330,5,,예쁩니다ㅎ 근데 전체적으로사이즈가 좀 커요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240323,5,,너무 예뻐요!! 고민했는데 너무 이뻐서 만족합니다,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240322,4,,색별로 구매했고 이쁘네요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240220,5,,색감이 예쁘고 봄에 잘 입을 수 있을 것 같아요.,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240226,4,,새로운 색상나오서 또 구매했어요 ㅎㅎ,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20231218,5,,잘 입고 있어요 사이즈는 크게 나온편이예요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230917,5,,어깨가 볼륨감이 있어요 ㅎㅎ 소화를 잘 못하는거 같지만 옷은 이뿌네용 단추가 작아서 살짝 끼우는게 불편했어여..ㅎㅎ,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230921,5,,색상 이쁘고 단추가 귀염둥이에요 만족합니다 :),[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230924,5,,결혼식 하객룩으로 구입했는데 좋아요~!,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230915,5,,어깨가 커서 반품고민했지만 독특한 컬러때문에 안고갑니다ㅎ,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230924,4,,퍼프가 있긴한데 과하지않아요. 결혼식에 이쁘게 잘입었어요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20231026,5,,이쁩니다 여성여성하니,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230831,5,,색감도 이쁘고 디자인도 고급져요~ 입으니 얼굴이 환~ 해지네요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230926,5,,진짜 입으면 두 배 이뻐보여요.. 강추,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
