RD_WRITE_DT,RD_RATING,RD_ITEM_NM,RD_CONTENT,RD_OPTION_SIZE,RD_OPTION_COLOR,RD_REVIEWER_INFO,RD_REVIEW_IMAGES,PRODUCT_TITLE
20240927,5,"COLOR: IVORY / SIZE: 55체형168cm57kg상의 M팔이 긴 편사이즈약간 커요 (가슴, 어깨)핏적당해요착용감편해요",예뻐요!!! 아이보리랑 블루 고민하다가 상세컷에 아이보리가 은은한 광택감이 고급스러워보이길래 구매했는데 굿초이스였어요 공홈에서 올x브x올x브꺼 유사한 디자인에 조금 저렴한 게 있어서 고민했는데 역시 온앤온 사길 잘했네요 콩단추도 예쁘고 은은한 광택감이 고급스러운게 돈 더 주고 괜찮은 옷 하나 사두는게 좋은 것 같아요 ㅎㅎ 블라우스 하나로 트위드자켓도 살아나네요~! 거의 최저가로 구매한 것 같아서 기분이 좋아요ㅎㅎ,"약간 커요 (가슴, 어깨)",,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240927,5,COLOR: IVORY / SIZE: 55,고급지고 예뻐서 깔별로 소장합니다~,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240927,5,COLOR: LIGHT BEIGE / SIZE: 66사이즈약간 커요 (어깨)핏적당해요착용감편해요,루즈핏인데 예쁘게 류즈핏이에옹 ㅋㅋ 단추 디테일고 이쁘구 소매 셔링도 이쁘네욤 !! 색상도 오묘해서 이뿌요 ㅎㅎ 통통66까지만 추천합니당,약간 커요 (어깨),,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240927,5,COLOR: BLUE / SIZE: 66사이즈약간 커요 (어깨)핏적당해요착용감편해요,무난하고 세일 할 때 잘 산거같아요,약간 커요 (어깨),,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240925,5,COLOR: IVORY / SIZE: 55,비슷한 블라우스 많은데 그중에서도 너무 예뻐요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240925,5,COLOR: IVORY / SIZE: 55체형125cm48kg상의 S사이즈약간 커요 (어깨)핏오버핏이에요착용감아주 편해요,정말 이쁘네요. 고급스러워요 냄새는 살짝 나요,약간 커요 (어깨),,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240924,4,COLOR: BLUE / SIZE: 55,다크네이비랑 코디된 착샷보고 예뻐서 구매했어요 단추는 잘안열려서 그냥 잠긴채로 입고벗고해야할거같고 어깨가 너무넓어보이는게 아쉽네요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240924,5,COLOR: BLUE / SIZE: 66,색상 예쁘고 스커트에 입으니 아주 예뻐요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240923,4,COLOR: IVORY / SIZE: 55,헐렁하게나온 브라우스에요 66입는데 55주문했더니 잘맞아요...얇고 가벼운옷이에요 결혼식장갈때 입으려고 주문했어요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240913,3,COLOR: LIGHT BEIGE / SIZE: 55체형158cm48kg상의 S보통 어깨핏오버핏이에요사이즈많이 커요 (어깨)착용감편해요,생각보다 옷이 큽니다,많이 커요 (어깨),,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
